genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value,q_value_bh,q_value_by
Hymn,0.5454413910165693,0.2870421528454575,1000,0.2583992381711117,0.0009990009990009,0.0034965034965031496,0.009065934065933166
Lament,0.4053129393398742,0.3734571631634306,1000,0.0318557761764435,0.0009990009990009,0.0034965034965031496,0.009065934065933166
Praise,0.2510050436276235,0.2498528595000684,1000,0.001152184127555,0.3666333666333666,0.8554778554778555,1.0
Wisdom,0.0641553540948988,0.0678868586762143,1000,-0.0037315045813154,0.7662337662337663,0.9405594405594406,1.0
Royal,0.048455380211341,0.0545916620424485,1000,-0.0061362818311074,0.7892107892107892,0.9405594405594406,1.0
Trust,0.0256803152161768,0.0328643971422426,1000,-0.0071840819260657,0.8061938061938062,0.9405594405594406,1.0
Thanksgiving,0.0289336907206452,0.0332596386387666,1000,-0.0043259479181213,0.999000999000999,0.999000999000999,1.0
