predictor,n_same_genre,n_different_genre,prevalence,average_precision,separation_auc,separation_p
shorter_side,8018,38765,0.17138704230169077,0.15442678328531473,0.44282899108374657,1.0
length_agreement,8018,38765,0.17138704230169077,0.18831717599849415,0.5177410754217817,2.730699540563326e-07
