model,n_same_genre,n_different_genre,prevalence,average_precision,separation_auc,separation_p
clause_typ_1_2gram_psalm,8018,38765,0.17138704230169077,0.24632705996424817,0.5931566123133822,8.793039133282612e-153
clause_signature_1_2gram_psalm,8018,38765,0.17138704230169077,0.24216886977381735,0.5945871402397617,1.941478171839032e-157
clause_typ_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.24095000033926703,0.5889277533906765,1.91189595483266e-139
phrase_full_signature_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.23996004455378783,0.5778753576412314,1.8120051524780154e-107
phrase_typ_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.23858524539317005,0.578125499388275,3.812017437026729e-108
phrase_signature_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.23760197027221697,0.5739106052398484,5.011633075630275e-97
phrase_function_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.23741428287189942,0.5760806002179347,1.1269870073663395e-102
phrase_signature_1_2gram_psalm,8018,38765,0.17138704230169077,0.23710335053831388,0.570299201361621,5.580487658290588e-88
clause_typ_1gram_psalm,8018,38765,0.17138704230169077,0.2367755621646045,0.5793082261673778,2.2925929160454994e-111
clause_signature_1gram_psalm,8018,38765,0.17138704230169077,0.23593107428900997,0.5840900248399569,6.445276632102317e-125
phrase_full_signature_1_2gram_psalm,8018,38765,0.17138704230169077,0.23581440662896896,0.5737903000204911,1.0390734190327973e-96
phrase_function_1_2gram_psalm,8018,38765,0.17138704230169077,0.2341802379022364,0.5730481127253438,8.095852417449872e-95
clause_marginal_typ_rela_psalm,8018,38765,0.17138704230169077,0.23410723551829304,0.5792581308977283,3.151311932310476e-111
phrase_signature_1gram_psalm,8018,38765,0.17138704230169077,0.23397039387417182,0.5683037604317154,3.524149875512081e-83
phrase_marginal_typ_function_psalm,8018,38765,0.17138704230169077,0.23332050354743727,0.5729460947487012,1.4678485953227715e-94
clause_signature_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.23254449851205572,0.5852118316787357,3.1895460419619604e-128
phrase_function_1gram_psalm,8018,38765,0.17138704230169077,0.23173301429002185,0.5706151067231452,9.414309224038635e-89
phrase_signature_posmean,8018,38765,0.17138704230169077,0.23151477557589992,0.5658957610435208,1.4353482274461657e-77
phrase_full_signature_1gram_psalm,8018,38765,0.17138704230169077,0.23145590570500102,0.5674168162907803,4.331650870064668e-81
phrase_typ_1_2gram_psalm,8018,38765,0.17138704230169077,0.22959399873680053,0.5686945939416527,4.144649777832026e-84
phrase_det_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.22865421065222596,0.5605380573961393,8.324357906692712e-66
phrase_rela_1_2gram_psalm,8018,38765,0.17138704230169077,0.2282136227933291,0.5679975955042725,1.858266325505598e-82
phrase_typ_1gram_psalm,8018,38765,0.17138704230169077,0.22777493109036495,0.5631358110573923,2.1873269842995243e-71
clause_kind_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.2271155439912248,0.5603486602455194,2.075555419568287e-65
phrase_rela_1_2_3gram_psalm,8018,38765,0.17138704230169077,0.22599861795167944,0.574210251878456,8.628390457812337e-98
clause_kind_1_2gram_psalm,8018,38765,0.17138704230169077,0.22464856609445322,0.5448050267524923,5.517865576416242e-37
phrase_det_1_2gram_psalm,8018,38765,0.17138704230169077,0.22352511842665074,0.5547524341996276,3.244854488309187e-54
