model,metric,source,genre,gap,p_perm,p_maxT,perm_q,perm_q_by,maxT_q,maxT_q_by
syntax_full_signature_inventory,content_distance,raw,Hymn,-0.02576280700596023,0.8780121987801219,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,content_distance,raw,Lament,0.07212478932903618,9.999000099990002e-05,0.015598440155984402,0.00011169095856371809,0.000739244522245268,0.11182881711828817,0.7401569611984393
syntax_full_signature_inventory,content_distance,raw,Praise,-0.028327916976498252,0.9591040895910409,1.0,0.9921007899210079,1.0,1.0,1.0
syntax_full_signature_inventory,content_distance,raw,Royal,0.02080564907982818,0.23367663233676633,0.8413158684131586,0.2973962422488869,1.0,1.0,1.0
syntax_full_signature_inventory,content_distance,raw,Thanksgiving,0.04602510229985515,0.061493850614938506,0.2238776122387761,0.07328445625692388,0.48504492709450425,0.2632048772838594,1.0
syntax_full_signature_inventory,content_distance,raw,Trust,-0.004666313010068673,0.5822417758224178,1.0,0.8745943587459435,1.0,1.0,1.0
syntax_full_signature_inventory,content_distance,raw,Wisdom,0.04654517076361231,0.0537946205379462,0.21477852214778523,0.06436183577109711,0.4259891323995565,0.26531464500608765,1.0
syntax_full_signature_inventory,content_distance,length_controlled,Hymn,-0.02305993247693225,0.8528147185281472,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,content_distance,length_controlled,Lament,0.07293716735231695,9.999000099990002e-05,0.013898610138986101,0.00010908000109080001,0.0007219634814655086,0.08442905709429056,0.5588072551072355
syntax_full_signature_inventory,content_distance,length_controlled,Praise,-0.028313452321341595,0.9597040295970403,1.0,0.9909800386867788,1.0,1.0,1.0
syntax_full_signature_inventory,content_distance,length_controlled,Royal,0.01934969954480995,0.2508749125087491,0.8708129187081292,0.3261458469537662,1.0,1.0,1.0
syntax_full_signature_inventory,content_distance,length_controlled,Thanksgiving,0.046827750820785906,0.05849415058494151,0.20987901209879012,0.06786614156263931,0.449182942301296,0.2435060361367178,1.0
syntax_full_signature_inventory,content_distance,length_controlled,Trust,-0.003166182481263418,0.5661433856614339,1.0,0.855187208551872,1.0,1.0,1.0
syntax_full_signature_inventory,content_distance,length_controlled,Wisdom,0.044048468012873446,0.06719328067193281,0.2616738326167383,0.09222607151049601,0.6104130455057397,0.37004380370043805,1.0
syntax_full_signature_inventory,structural_distance,raw,Hymn,0.03270920156712798,9.999000099990002e-05,0.0425957404259574,0.0010768153953835387,0.00712707539395438,0.3048895110488951,1.0
syntax_full_signature_inventory,structural_distance,raw,Lament,0.02503648184710744,9.999000099990002e-05,0.1606839316068393,0.0005184666718513334,0.0034315548193113677,0.8428355025460021,1.0
syntax_full_signature_inventory,structural_distance,raw,Praise,-0.01251380160122978,0.974002599740026,1.0,0.9810379343927182,1.0,1.0,1.0
syntax_full_signature_inventory,structural_distance,raw,Royal,0.005327336622609036,0.3615638436156384,0.9651034896510349,0.7790838563202503,1.0,1.0,1.0
syntax_full_signature_inventory,structural_distance,raw,Thanksgiving,0.020775974394384777,0.0898910108989101,0.2987701229877012,0.1987064451449592,1.0,0.67148365377366,1.0
syntax_full_signature_inventory,structural_distance,raw,Trust,0.02506664630711375,0.07139286071392861,0.16028397160283972,0.49199574424580017,1.0,1.0,1.0
syntax_full_signature_inventory,structural_distance,raw,Wisdom,-0.007618428042634184,0.7133286671332867,1.0,1.0,1.0,1.0,1.0
syntax_full_signature_inventory,structural_distance,length_controlled,Hymn,0.011879965194615844,0.06999300069993,0.6194380561943805,0.32005220530578526,1.0,1.0,1.0
syntax_full_signature_inventory,structural_distance,length_controlled,Lament,0.018776030727745134,9.999000099990002e-05,0.2645735426457354,0.005443900054439001,0.03603132560276936,1.0,1.0
syntax_full_signature_inventory,structural_distance,length_controlled,Praise,-0.01262527097136478,0.9837016298370163,1.0,0.9900585120485563,1.0,1.0,1.0
syntax_full_signature_inventory,structural_distance,length_controlled,Royal,0.016547360595475305,0.0570942905709429,0.36126387361263873,0.14854070148540702,0.9831404557327068,0.8522814385228145,1.0
syntax_full_signature_inventory,structural_distance,length_controlled,Thanksgiving,0.0145905020067612,0.13788621137886212,0.46095390460953906,0.28956104389561044,1.0,0.9728675373668663,1.0
syntax_full_signature_inventory,structural_distance,length_controlled,Trust,0.01350614912586176,0.1944805519448055,0.5233476652334766,0.8310867026504897,1.0,1.0,1.0
syntax_full_signature_inventory,structural_distance,length_controlled,Wisdom,0.011621981080516024,0.18068193180681932,0.6353364663533647,0.5418624804186247,1.0,1.0,1.0
syntax_full_signature_inventory,structural_distance,length_and_content_controlled,Hymn,0.01731294593814578,0.0028997100289971,0.20507949205079493,0.018177286748937045,0.12030928762033435,1.0,1.0
syntax_full_signature_inventory,structural_distance,length_and_content_controlled,Lament,0.0015918422610549344,0.32326767323267674,0.9925007499250075,0.9964731450482637,1.0,1.0,1.0
syntax_full_signature_inventory,structural_distance,length_and_content_controlled,Praise,-0.005954547134745618,0.9204079592040796,1.0,0.9780957388132155,1.0,1.0,1.0
syntax_full_signature_inventory,structural_distance,length_and_content_controlled,Royal,0.011988520489364655,0.0832916708329167,0.45835416458354167,0.228795302287953,1.0,1.0,1.0
