model,scope,prevalence,point_ap,ap_ci_low,ap_ci_high,ap_ci_low_pct,ap_ci_high_pct,point_gap,gap_ci_low,gap_ci_high,gap_ci_low_pct,gap_ci_high_pct,point_auc,auc_ci_low,auc_ci_high,auc_ci_low_pct,auc_ci_high_pct,n_valid_resamples,n_valid_jackknife
homograph_binary,overall,0.2850539291217257,0.34285564531081536,0.28719346758435704,0.3795455164877698,0.3038536474588733,0.3892552700774577,0.3812311647529407,0.2556087873464021,0.5644729215937251,0.23057602019840917,0.5353515508340078,0.5613233923578751,0.5390807940810715,0.597816651819064,0.5347808891072173,0.5879352953626982,1000,150
homograph_binary,Antithetic,0.01694915254237288,0.027351355050055176,0.01406527412272405,0.0512236228410789,0.014298968485715161,0.05265685432889893,0.5023697751766677,-0.00953113068230772,1.1340034727388562,-0.06648379909668385,1.0727297741801152,0.6003651819923371,0.4960851644586647,0.7225762273047928,0.4913423297983266,0.7118367463676725,1000,148
homograph_binary,Emblematic,0.009252669039145907,0.035014322126085254,0.008690171011150905,0.11719679056787358,0.009093532583429874,0.12806721992868403,0.551400357089107,-0.312695637736484,1.6601785501221602,-0.35633351101420274,1.4688331389661389,0.5152036361626879,0.3971249542702703,0.6461201006382037,0.39214477044911306,0.637693946815895,1000,148
homograph_binary,Staircase,0.0096051227321238,0.032941985785193376,0.012403629974691193,0.08498720703271202,0.012349306483565409,0.08471339014062497,1.0310676731437107,0.13500976406353019,1.9419590781371034,0.10733874837727374,1.91816220487678,0.6465650276713495,0.495181127580153,0.7906032565887288,0.4951059378811272,0.790602636676871,1000,146
homograph_binary,Synonymous,0.15096065873741996,0.20295481283597194,0.1617548462278947,0.24791576447155825,0.1639339615624129,0.2522404176582129,0.47301621032167485,0.28322127054612384,0.7248132425449593,0.26235281861891785,0.6975023815086103,0.58304162312783,0.5490424731709433,0.6245951233669343,0.5457197344021907,0.6212610433537115,1000,149
homograph_binary,Synthetic,0.1558520315342632,0.18332720445108472,0.14482279448918878,0.21426145619183382,0.15240006170389417,0.21944126421181287,0.23878323560089143,0.09380147539076718,0.4355144515453505,0.06545411061069012,0.3941170412948725,0.5346172821906168,0.5093075956767209,0.5720490080853818,0.5040307318151522,0.5636493020337112,1000,150
homograph_count,overall,0.2850539291217257,0.34418680948461766,0.29043666067921314,0.37908028025897067,0.3042927990887701,0.3908571918318886,0.37061515433073905,0.2518227877400399,0.5641040478786341,0.21988476542597216,0.5194100473431683,0.5611481632494564,0.53958691929983,0.6014005842457936,0.5339204947999904,0.5876068500574095,1000,150
homograph_count,Antithetic,0.01694915254237288,0.02464975309109227,0.011852046933673865,0.041297660032915476,0.012967259124034836,0.04535839566572925,0.4279831496597983,-0.06847638768110563,0.9194006867921825,-0.08857101559069233,0.9149834383750403,0.5888784123563219,0.4878342052243518,0.6980609695549957,0.4840866728999528,0.691476437003227,1000,148
homograph_count,Emblematic,0.009252669039145907,0.036544939294217,0.008662001274691536,0.10679997959400986,0.009848051695798995,0.11661585978435249,0.5073402381599499,-0.3344894381522382,1.5139611134160065,-0.37137079152248925,1.4329925986526653,0.5143954465075155,0.3970391737198318,0.6460679558447234,0.391598540448195,0.6373832894911126,1000,148
homograph_count,Staircase,0.0096051227321238,0.042851935293871705,0.012362337307245036,0.09885608355758453,0.014834011626599116,0.11115218797382093,1.1051927194397333,0.1453743103592817,1.9922073734569508,0.1536498273958571,2.011446655832844,0.6402857598978289,0.49404504928455767,0.786142344477547,0.4895033653154102,0.783948473661523,1000,146
homograph_count,Synonymous,0.15096065873741996,0.2001901628057654,0.1585716913363353,0.2423720548940593,0.16162102535170822,0.2492419866230307,0.44224804695334513,0.25571457329380487,0.6665336688810584,0.23844732894037507,0.6560838223691291,0.5801466533147568,0.5468490766792435,0.6210764129812721,0.5437089863345017,0.6178009358647514,1000,149
homograph_count,Synthetic,0.1558520315342632,0.18888427095442809,0.1515053489215045,0.22039363819128488,0.15724708790416797,0.22447586207880046,0.25077003358854594,0.10907189347948049,0.4353336927914083,0.08112972338098122,0.40865396151222577,0.5384702468804509,0.512971536548898,0.5767648038025024,0.5084602870584847,0.5676213172296216,1000,150
homograph_icf,overall,0.2850539291217257,0.3348950694850952,0.2816259878653549,0.3707685565234487,0.2945488178534413,0.3807888746428356,0.47142658882464594,0.2835208013785784,0.7279285715315905,0.25768472821324995,0.6791099409807816,0.5605443266542405,0.5389190851882273,0.5989095576699563,0.5346108544218737,0.587663035565618,1000,150
homograph_icf,Antithetic,0.01694915254237288,0.02840002530902028,0.012527867901159027,0.048929652579872064,0.015016181530094663,0.05506609108739839,0.753766818467689,0.022160384917394832,1.6188626481425032,-0.011996832576843497,1.5956792401148547,0.6014839260057471,0.49572086534135534,0.7092471825773129,0.49525519131760626,0.7032240077900671,1000,148
homograph_icf,Emblematic,0.009252669039145907,0.035632340360519286,0.009007430061586946,0.10294882125080984,0.010597014601498785,0.11591972613692318,1.5237674185343386,0.0748370412311905,3.451432336812209,-0.10605839142268575,3.215746126055941,0.5440636052166224,0.40979078938816876,0.7118140894033053,0.4051735022129921,0.6957159069956005,1000,148
homograph_icf,Staircase,0.0096051227321238,0.04824290276213084,0.015253277305123023,0.11516561822193709,0.01630033585430109,0.12121355456487352,2.2561890594014127,0.7524768356866669,3.862197669009626,0.7120521650755793,3.7797619296651668,0.6438710621541082,0.4906270255205274,0.7832956738442858,0.48869787311158,0.7815805839476748,1000,146
homograph_icf,Synonymous,0.15096065873741996,0.18511831609218676,0.1444335998364284,0.22143259510683452,0.1500506015847155,0.22920438295197365,0.4256908497889592,0.1637332833872868,0.7279378231526765,0.15105883839035836,0.7103400962659133,0.5762604493207941,0.5421290390664079,0.6171740389599486,0.539756383393905,0.6141497960164588,1000,149
homograph_icf,Synthetic,0.1558520315342632,0.18267041453313537,0.14364405435434424,0.2136700435433735,0.15197660734575108,0.21930382794323747,0.34212194197984847,0.11582296244687458,0.6144035939183049,0.07417016166967863,0.5656457707594129,0.5380425667516436,0.5119905514152334,0.5727769829953494,0.5081043386846031,0.5680089865983216,1000,150
homograph_icf_position2,overall,0.2850539291217257,0.33443660963332944,0.28022951334106677,0.3711608530081749,0.29356185581399247,0.38074746720088076,0.6071278293228779,0.35913365581541534,0.9277659996145489,0.3417398857966273,0.8692483083924747,0.5601652298850575,0.5398811661057149,0.5957047511166265,0.5346528715190422,0.5860582503041686,1000,150
homograph_icf_position2,Antithetic,0.01694915254237288,0.02746880991620313,0.012455730946734097,0.04891526863103535,0.014480209321668715,0.05492515677172797,0.90350169805908,-0.07558139701203866,2.0339319346684253,-0.12631542082907118,1.9704921354930198,0.5833183668582376,0.4830576925512222,0.6943026566610125,0.4760215145644562,0.6876564388933635,1000,148
homograph_icf_position2,Emblematic,0.009252669039145907,0.035807745910890074,0.008640408190558762,0.10494227759714078,0.009892323739540163,0.11618219743975916,1.8584496239537367,-0.008111120053663705,4.4207338494513575,-0.22714991445401556,4.161098547976579,0.5253785366931919,0.40446228982853166,0.7062797900022122,0.3881426412378743,0.6750726811863489,1000,148
homograph_icf_position2,Staircase,0.0096051227321238,0.041458552674116134,0.012159714988071233,0.08919935027525408,0.015232923116450005,0.10617057208931423,2.5351265289919196,0.9413719711410716,4.510897561117973,0.8726071820199316,4.442575233516309,0.6227783099191145,0.48578068828164583,0.7401524723684055,0.4910253995993314,0.7471248785449516,1000,146
homograph_icf_position2,Synonymous,0.15096065873741996,0.18539691446184609,0.14425657801805428,0.22080052867911365,0.15007236477686858,0.22930724836840347,0.5550264460631933,0.21906726904639395,0.9536455133717838,0.20240591545311956,0.9310577564456944,0.5767781986531987,0.5438653991689468,0.6170767302828081,0.5413921600800903,0.6150391911526406,1000,149
homograph_icf_position2,Synthetic,0.1558520315342632,0.18393277949755338,0.14526419307066804,0.21629168937092927,0.15282868047015513,0.22088327770456695,0.4650537193282076,0.17714540447744154,0.8099176135343114,0.12329429285396973,0.7578216443779076,0.5404748227782996,0.514902194628268,0.574188741818026,0.5111521868324328,0.569459142983867,1000,150
homograph_icf_position2_psalm,overall,0.2850539291217257,0.26100021267164997,0.16739050292373828,0.3147137860274964,0.20337060805040003,0.330495719505727,0.0,0.0,0.0,0.0,0.0,0.43978946619032827,0.31338823435130886,0.4973927361718919,0.35799996501713605,0.512763186268185,1000,150
homograph_icf_position2_psalm,Antithetic,0.01694915254237288,0.014803241103653181,0.006203042026833544,0.024686870048756505,0.007361320008181651,0.02706256570680641,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.412180465756705,0.26006691528770565,0.5516299653513973,0.26836884693562096,0.5593339850249583,1000,148
homograph_icf_position2_psalm,Emblematic,0.009252669039145907,0.008068554324217842,0.0037636025288560124,0.015759999648153212,0.003620577714733897,0.015229666200795642,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.34925536030061893,0.20992213405067062,0.46487875840050463,0.2166277238051857,0.46991345045577515,1000,148
homograph_icf_position2_psalm,Staircase,0.0096051227321238,0.011229931428461636,0.005298307461234482,0.022238699716774814,0.005174042134627477,0.021214051604669083,0.0,0.0,0.0,0.0,0.0,0.5176205300127714,0.34815036378156056,0.625644164206016,0.38389575365671474,0.6518324172188141,1000,146
homograph_icf_position2_psalm,Synonymous,0.15096065873741996,0.13753527639535768,0.08593090141087932,0.1782373809412921,0.09804375205262172,0.18949031293698618,0.0,0.0,0.0,0.0,0.0,0.4442242104957622,0.3266489290743531,0.5172989484003552,0.3534969523564998,0.528807826438648,1000,149
homograph_icf_position2_psalm,Synthetic,0.1558520315342632,0.14025018339431933,0.08281443134601378,0.17301225021760777,0.10331498601577085,0.18506764476616566,0.0,0.0,0.0,0.0,0.0,0.43858806856299476,0.31094795092265504,0.4966226029165173,0.3525378701459106,0.513312529776321,1000,150
homograph_icf_position4,overall,0.2850539291217257,0.3348013805542017,0.27644268356226015,0.3712136513106509,0.29407482189948797,0.38216679618359617,0.7842326677239164,0.47936468994817993,1.1359612887475903,0.46277643755892833,1.1024942413881798,0.5613086685823755,0.541462469994162,0.5896561637145152,0.5383091322906294,0.5838157491739625,1000,150
homograph_icf_position4,Antithetic,0.01694915254237288,0.02748986438824954,0.012395837189637621,0.049825063577153356,0.014104439665344573,0.05694142997053925,1.1392254559630648,-0.1283430460802528,2.661375911811922,-0.22903562897874574,2.572396576166045,0.5827197078544061,0.4802232479560163,0.6999671923133125,0.4734798704726539,0.690795074926328,1000,148
homograph_icf_position4,Emblematic,0.009252669039145907,0.03824445362900235,0.00874470040668063,0.11524725089105337,0.010338367727805182,0.12788060789799968,2.500855604561861,0.022474611293573102,5.898993823873094,-0.24321090968666442,5.529663887830074,0.5220836096374889,0.399029047461776,0.7133186518944681,0.3827837622077962,0.6771597153914388,1000,148
homograph_icf_position4,Staircase,0.0096051227321238,0.044446696126520094,0.012554669114410066,0.09503757298789287,0.016369780138991274,0.11480231272114279,3.4350915056635807,1.348317860276157,6.029700935644369,1.2613859780953995,5.9302875464002796,0.6339931885908897,0.49624109801268457,0.7494690477833365,0.502026659905659,0.7561879566115434,1000,146
homograph_icf_position4,Synonymous,0.15096065873741996,0.18322304775364318,0.1429388782438218,0.2207303461701048,0.14839690889879478,0.22826874918479284,0.654864933145012,0.223219549783795,1.1562722605788622,0.2013670129628341,1.1129877053800694,0.5742602026007199,0.5390810371011676,0.6102902574922684,0.5381696279615206,0.6100386064578658,1000,149
homograph_icf_position4,Synthetic,0.1558520315342632,0.18628572947887792,0.1459550063169342,0.21774911450666842,0.1552350611038155,0.2246403584775261,0.6495867334805727,0.25825665492561845,1.0527087407323203,0.2379492901052238,1.0136765989995062,0.5450025017889888,0.5213966546531136,0.5757883225357338,0.5175497661443116,0.5721083715723877,1000,150
homograph_icf_position4_psalm,overall,0.2850539291217257,0.2793119524186528,0.2122040384982054,0.31422071142505337,0.2389767322768292,0.32593867360068607,0.0,0.0,0.0,0.0,0.0,0.4876134216112664,0.45442891979696465,0.5194263153843597,0.45666986374657514,0.5230443103342168,1000,150
homograph_icf_position4_psalm,Antithetic,0.01694915254237288,0.016617624405118048,0.008061620359092359,0.026416590240027082,0.008847329892913461,0.027219924191069955,0.0,0.0,0.0,0.0,0.0,0.48702406609195403,0.38267547877654723,0.5959894204963452,0.3768183430848734,0.5898258570098464,1000,148
homograph_icf_position4_psalm,Emblematic,0.009252669039145907,0.009758726108204463,0.0041148733701455885,0.019514684756372542,0.004349781184078334,0.020033078639764907,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.5118396330680813,0.3729365313751311,0.6359823418255154,0.36484730013213135,0.6306908754389727,1000,148
homograph_icf_position4_psalm,Staircase,0.0096051227321238,0.010481365563336993,0.004726046215102381,0.02074541989256248,0.0047413121284385325,0.02094851579837254,0.0,0.0,0.0,0.0,0.0,0.5330991911451681,0.4069726825831065,0.676185731120713,0.3967683128182714,0.6675867667442069,1000,146
homograph_icf_position4_psalm,Synonymous,0.15096065873741996,0.14550297845314059,0.10906204785221915,0.17579738266582046,0.11280284581281326,0.18013152405254385,0.0,0.0,0.0,0.0,0.0,0.47725567456170903,0.4279511098147899,0.5248797906602829,0.4295510199618517,0.5259449001329307,1000,149
homograph_icf_position4_psalm,Synthetic,0.1558520315342632,0.15364352245575125,0.11576113735649413,0.18096503861051522,0.12475759653701027,0.18631799161805063,0.0,0.0,0.0,0.0,0.0,0.4940285511427166,0.4529347196335093,0.5328443275966459,0.4541132135736938,0.5337171400221075,1000,150
homograph_icf_position8,overall,0.2850539291217257,0.3351525775634623,0.2773959506912319,0.37303777768849716,0.2924423123114818,0.38285620836336093,0.99364639442535,0.6070703560395434,1.3922485227131514,0.5953423571114251,1.3819301362047693,0.5534966539815678,0.5342690169759481,0.5767149475974569,0.5322774900004008,0.5748612027000712,1000,150
homograph_icf_position8,Antithetic,0.01694915254237288,0.03093895535062076,0.01322993655151804,0.05774297867514272,0.015545506127291903,0.06600611655698717,1.7369215595661582,0.13634921182621704,3.6608213121841002,-0.03254762725556704,3.569349484007171,0.6050272389846744,0.5072384559083873,0.7162053248304566,0.5005232817368105,0.7108486551316805,1000,148
homograph_icf_position8,Emblematic,0.009252669039145907,0.04555498576340418,0.010105375360478569,0.13430418011723827,0.011739842395655387,0.14293021649331275,3.4247640866053652,0.2892502913678824,7.8023428672338015,-0.08951388764796209,7.330420431589745,0.5270363616268788,0.4087435656895028,0.7123551276766215,0.39567967084738215,0.6776656352627484,1000,148
homograph_icf_position8,Staircase,0.0096051227321238,0.052375142892386095,0.014247190308733431,0.1124850005039158,0.018546410290606816,0.1310038438062358,4.587712837789258,1.9318323879085864,7.949525606251495,1.7566559192432973,7.853659225284217,0.6355497020008515,0.5165136457670951,0.7535927439274202,0.5186043853184091,0.7590417873485621,1000,146
homograph_icf_position8,Synonymous,0.15096065873741996,0.18122772571176785,0.13933677707326791,0.22043109872602984,0.14469296838841633,0.22702546020831058,0.7740121335700596,0.25808016856392657,1.4159806106692676,0.2091705789788364,1.3802801919519718,0.5580521450133519,0.5239990909351432,0.5936858010787279,0.5236383054049453,0.5925721266639228,1000,149
homograph_icf_position8,Synthetic,0.1558520315342632,0.18850710471636706,0.14794236009118447,0.22023791617035055,0.15585318503777107,0.22718408804753873,0.8239827703574589,0.3879950392465877,1.3217206996795685,0.3458326294371596,1.3041340384215572,0.5413256406816047,0.5191934629611918,0.5675833497240504,0.5167126115080246,0.5654735989387978,1000,150
homograph_icf_position8_psalm,overall,0.2850539291217257,0.3073263689589631,0.27579220254183356,0.3394263912151519,0.27846411192099974,0.3422710907010863,0.0,0.0,0.0,0.0,0.0,0.544943111214663,0.5063802370250479,0.6309692921457662,0.4930089867419011,0.5998601746102638,1000,150
homograph_icf_position8_psalm,Antithetic,0.01694915254237288,0.01815292388038212,0.009683687040342554,0.028714678786165005,0.01011436204725432,0.03003781041087377,0.0,0.0,0.0,0.0,0.0,0.5289040050287356,0.3987332441463684,0.6645999520458657,0.39532253238866993,0.6630884472339753,1000,148
homograph_icf_position8_psalm,Emblematic,0.009252669039145907,0.011351285552429473,0.0051107757648916445,0.02141953516842785,0.0055437045699243855,0.02232164117580203,0.0,0.0,0.0,-2.220446049250187e-17,0.0,0.5682264036251106,0.44391758854392155,0.7120204687824023,0.43457462324471446,0.6973609209055986,1000,148
homograph_icf_position8_psalm,Staircase,0.0096051227321238,0.009535227478655081,0.004331670739035656,0.01665355761797282,0.004759853866189876,0.017476519152073086,0.0,0.0,0.0,0.0,0.0,0.49687366964665813,0.3290024255604735,0.6421296756505609,0.34246197366983155,0.6617171716887543,1000,146
homograph_icf_position8_psalm,Synonymous,0.15096065873741996,0.17099150141029493,0.14428444244728386,0.20247209048339423,0.14210290566113995,0.20096078303204318,0.0,0.0,0.0,0.0,0.0,0.5626552885173575,0.5106983265678154,0.6452450241440025,0.5012848805883671,0.628253667095453,1000,149
homograph_icf_position8_psalm,Synthetic,0.1558520315342632,0.16623085722748165,0.14188315321510053,0.1924392180145854,0.1431378431685992,0.19415624429980052,0.0,0.0,0.0,0.0,0.0,0.5307307739612684,0.4827787681726243,0.6222610470905743,0.468833443585543,0.5963036071115089,1000,150
homograph_icf_position_mean,overall,0.2850539291217257,0.33490940002401615,0.2805089771535755,0.37062363484250355,0.2942638353019807,0.3804873246918235,0.5633030839030001,0.33873538088104055,0.8689936227332509,0.30671833400504933,0.81114909544045,0.5605255578854716,0.5388542860930278,0.5988081633511639,0.5346297506082769,0.587627671950679,1000,150
homograph_icf_position_mean,Antithetic,0.01694915254237288,0.028417622601179755,0.0125050276351952,0.04892257683860546,0.015011708797220743,0.05506790238399168,0.9038366115552793,0.021184311572241734,1.9392099553805504,-0.012460144699730632,1.911250586173803,0.6015363086685823,0.49573461446459294,0.70936910854249,0.49534146835694925,0.7032075724523339,1000,148
homograph_icf_position_mean,Emblematic,0.009252669039145907,0.03620137470080918,0.008905791165248016,0.10563617144474687,0.010377077074902465,0.11722536886744946,1.8230290735733252,0.07748236958017521,4.148819323642961,-0.1312904194130133,3.8504126412179707,0.5435800729442971,0.40938400542149234,0.7100971778668264,0.4046320851379304,0.6940212469236288,1000,148
homograph_icf_position_mean,Staircase,0.0096051227321238,0.04787110600048467,0.01537780719869662,0.11506942202122436,0.01621723525809268,0.12076085911245336,2.7004484311041725,0.9010112018019244,4.616276217271434,0.850441475825947,4.5107928947795255,0.6438045444870157,0.4906541696499667,0.7832525430391609,0.48865892246129367,0.7814971972198014,1000,146
homograph_icf_position_mean,Synonymous,0.15096065873741996,0.18505963606106582,0.14443969015439959,0.22133026902723504,0.14993028464876793,0.2293449849375951,0.5090532180923465,0.19383881496607816,0.8726145942392253,0.18052068996759124,0.8504943836714556,0.5762499274352723,0.5421193505215739,0.6172077832916613,0.5398010480632215,0.6141373508023719,1000,149
