model,n_pairs,separation_auc,separation_p,discrimination_p,discrimination_rank_biserial,type_gap_z,type_gap_p,mrr_forward,mrr_backward,recall_at_1_forward,recall_at_5_forward,recall_at_10_forward,recall_at_1_backward,recall_at_5_backward,recall_at_10_backward,n_pairs_Antithetic,separation_auc_Antithetic,separation_p_Antithetic,discrimination_p_Antithetic,discrimination_rank_biserial_Antithetic,mrr_forward_Antithetic,mrr_backward_Antithetic,recall_at_1_forward_Antithetic,recall_at_5_forward_Antithetic,recall_at_1_backward_Antithetic,recall_at_5_backward_Antithetic,n_pairs_Emblematic,separation_auc_Emblematic,separation_p_Emblematic,discrimination_p_Emblematic,discrimination_rank_biserial_Emblematic,mrr_forward_Emblematic,mrr_backward_Emblematic,recall_at_1_forward_Emblematic,recall_at_5_forward_Emblematic,recall_at_1_backward_Emblematic,recall_at_5_backward_Emblematic,n_pairs_Staircase,separation_auc_Staircase,separation_p_Staircase,discrimination_p_Staircase,discrimination_rank_biserial_Staircase,mrr_forward_Staircase,mrr_backward_Staircase,recall_at_1_forward_Staircase,recall_at_5_forward_Staircase,recall_at_1_backward_Staircase,recall_at_5_backward_Staircase,n_pairs_Synonymous,separation_auc_Synonymous,separation_p_Synonymous,discrimination_p_Synonymous,discrimination_rank_biserial_Synonymous,mrr_forward_Synonymous,mrr_backward_Synonymous,recall_at_1_forward_Synonymous,recall_at_5_forward_Synonymous,recall_at_1_backward_Synonymous,recall_at_5_backward_Synonymous,n_pairs_Synthetic,separation_auc_Synthetic,separation_p_Synthetic,discrimination_p_Synthetic,discrimination_rank_biserial_Synthetic,mrr_forward_Synthetic,mrr_backward_Synthetic,recall_at_1_forward_Synthetic,recall_at_5_forward_Synthetic,recall_at_1_backward_Synthetic,recall_at_5_backward_Synthetic
clause_typ_1_2gram_psalm,2392,0.9953324476135702,0.0,0.0,1.0,92.46541790695602,0.0004997501249375312,0.112568509996965,0.112568509996965,0.0004180602006688963,0.15719063545150502,0.4506688963210702,0.0004180602006688963,0.15719063545150502,0.4506688963210702,79,0.9941649140802069,1.4734050605865565e-52,5.594388752140666e-15,1.0,0.09012541396790522,0.09012541396790522,0.0,0.11392405063291139,0.0,0.11392405063291139,62,0.9960392248768469,5.39753120526132e-42,3.765009979861303e-12,1.0,0.13910140700196155,0.13910140700196155,0.0,0.24193548387096775,0.0,0.24193548387096775,38,0.9970358604693733,1.3168110176620045e-26,3.596577585214256e-08,1.0,0.15172147350794865,0.15172147350794865,0.0,0.2894736842105263,0.0,0.2894736842105263,1118,0.9955766389642914,0.0,9.330604654836858e-185,1.0,0.1122081706268455,0.1122081706268455,0.0008944543828264759,0.1368515205724508,0.0008944543828264759,0.1368515205724508,1095,0.9949523856389276,0.0,4.5179737083812854e-181,1.0,0.11169454814706742,0.11169454814706742,0.0,0.17168949771689498,0.0,0.17168949771689498
phrase_signature_posmean,2392,0.9951194359332147,0.0,0.0,1.0,81.39591297985588,0.0004997501249375312,0.112568509996965,0.112568509996965,0.0004180602006688963,0.15719063545150502,0.4506688963210702,0.0004180602006688963,0.15719063545150502,0.4506688963210702,79,0.9937648063483269,1.778301887664718e-52,5.594388752140666e-15,1.0,0.09012541396790522,0.09012541396790522,0.0,0.11392405063291139,0.0,0.11392405063291139,62,0.9957082490661521,6.102244541255888e-42,3.765009979861303e-12,1.0,0.13910140700196155,0.13910140700196155,0.0,0.24193548387096775,0.0,0.24193548387096775,38,0.9970096483697523,1.3247215866170617e-26,3.596577585214256e-08,1.0,0.15172147350794865,0.15172147350794865,0.0,0.2894736842105263,0.0,0.2894736842105263,1118,0.9952021758790772,0.0,9.330604654836858e-185,1.0,0.1122081706268455,0.1122081706268455,0.0008944543828264759,0.1368515205724508,0.0008944543828264759,0.1368515205724508,1095,0.9949360179556875,0.0,4.5179737083812854e-181,1.0,0.11169454814706742,0.11169454814706742,0.0,0.17168949771689498,0.0,0.17168949771689498
clause_mother_edge_distance_psalm,2392,0.9951022895552611,0.0,0.0,1.0,24.891698545932513,0.0004997501249375312,0.112568509996965,0.112568509996965,0.0004180602006688963,0.15719063545150502,0.4506688963210702,0.0004180602006688963,0.15719063545150502,0.4506688963210702,79,0.9944813882052892,1.269584731231795e-52,5.594388752140666e-15,1.0,0.09012541396790522,0.09012541396790522,0.0,0.11392405063291139,0.0,0.11392405063291139,62,0.9958786874643946,5.728572261451472e-42,3.765009979861303e-12,1.0,0.13910140700196155,0.13910140700196155,0.0,0.24193548387096775,0.0,0.24193548387096775,38,0.9965908340487354,1.457714162068325e-26,3.596577585214256e-08,1.0,0.15172147350794865,0.15172147350794865,0.0,0.2894736842105263,0.0,0.2894736842105263,1118,0.9952468578094567,0.0,9.330604654836858e-185,1.0,0.1122081706268455,0.1122081706268455,0.0008944543828264759,0.1368515205724508,0.0008944543828264759,0.1368515205724508,1095,0.9948173642862325,0.0,4.5179737083812854e-181,1.0,0.11169454814706742,0.11169454814706742,0.0,0.17168949771689498,0.0,0.17168949771689498
clause_kind_1_2gram_psalm,2392,0.9950830530488126,0.0,0.0,1.0,23.63138917530775,0.0004997501249375312,0.112568509996965,0.112568509996965,0.0004180602006688963,0.15719063545150502,0.4506688963210702,0.0004180602006688963,0.15719063545150502,0.4506688963210702,79,0.9944093145321232,1.3133358696694431e-52,5.594388752140666e-15,1.0,0.09012541396790522,0.09012541396790522,0.0,0.11392405063291139,0.0,0.11392405063291139,62,0.9952811466516607,7.148370545481884e-42,3.765009979861303e-12,1.0,0.13910140700196155,0.13910140700196155,0.0,0.24193548387096775,0.0,0.24193548387096775,38,0.9971003045817012,1.2975547244512007e-26,3.596577585214256e-08,1.0,0.15172147350794865,0.15172147350794865,0.0,0.2894736842105263,0.0,0.2894736842105263,1118,0.9954714641882347,0.0,9.330604654836858e-185,1.0,0.1122081706268455,0.1122081706268455,0.0008944543828264759,0.1368515205724508,0.0008944543828264759,0.1368515205724508,1095,0.9946192017456397,0.0,4.5179737083812854e-181,1.0,0.11169454814706742,0.11169454814706742,0.0,0.17168949771689498,0.0,0.17168949771689498
phrase_marginal_typ_function_psalm,2392,0.9950225851504753,0.0,0.0,1.0,36.8790282626829,0.0004997501249375312,0.112568509996965,0.112568509996965,0.0004180602006688963,0.15719063545150502,0.4506688963210702,0.0004180602006688963,0.15719063545150502,0.4506688963210702,79,0.9943637114316217,1.3418518821712022e-52,5.594388752140666e-15,1.0,0.09012541396790522,0.09012541396790522,0.0,0.11392405063291139,0.0,0.11392405063291139,62,0.9958078573352813,5.881030827798364e-42,3.765009979861303e-12,1.0,0.13910140700196155,0.13910140700196155,0.0,0.24193548387096775,0.0,0.24193548387096775,38,0.9971308612282208,1.2885274397901993e-26,3.596577585214256e-08,1.0,0.15172147350794865,0.15172147350794865,0.0,0.2894736842105263,0.0,0.2894736842105263,1118,0.9954000139218502,0.0,9.330604654836858e-185,1.0,0.1122081706268455,0.1122081706268455,0.0008944543828264759,0.1368515205724508,0.0008944543828264759,0.1368515205724508,1095,0.9944216136994272,0.0,4.5179737083812854e-181,1.0,0.11169454814706742,0.11169454814706742,0.0,0.17168949771689498,0.0,0.17168949771689498
phrase_signature_1_2_3gram_psalm,2392,0.9949765238907713,0.0,0.0,1.0,57.565079275585184,0.0004997501249375312,0.11277234887357275,0.1126091547386967,0.0004180602006688963,0.1592809364548495,0.4506688963210702,0.0004180602006688963,0.15677257525083613,0.4506688963210702,79,0.9943978551196534,1.3205035007136574e-52,5.594388752140666e-15,1.0,0.09357765792647828,0.09012541396790522,0.0,0.16455696202531644,0.0,0.11392405063291139,62,0.9960670237984882,5.342176381478231e-42,3.765563587276923e-12,1.0,0.13714392287130256,0.13910140700196155,0.0,0.22580645161290322,0.0,0.24193548387096775,38,0.9970333985594642,1.3175531354887303e-26,3.596577585214256e-08,1.0,0.15172147350794865,0.15172147350794865,0.0,0.2894736842105263,0.0,0.2894736842105263,1118,0.9948257702248974,0.0,9.330604654836858e-185,1.0,0.11237983358920613,0.11228270849208104,0.0008944543828264759,0.13864042933810375,0.0008944543828264759,0.1368515205724508,1095,0.9948750659157742,0.0,4.5180119032414446e-181,1.0,0.11182632910076619,0.11170723206386092,0.0,0.17168949771689498,0.0,0.17077625570776256
clause_kind_1_2_3gram_psalm,2392,0.9948757770512093,0.0,0.0,1.0,41.6378845784999,0.0004997501249375312,0.112568509996965,0.112568509996965,0.0004180602006688963,0.15719063545150502,0.4506688963210702,0.0004180602006688963,0.15719063545150502,0.4506688963210702,79,0.9933939837816477,2.1166585461511457e-52,5.594388752140666e-15,1.0,0.09012541396790522,0.09012541396790522,0.0,0.11392405063291139,0.0,0.11392405063291139,62,0.9956200650113959,6.304935264557608e-42,3.765009979861303e-12,1.0,0.13910140700196155,0.13910140700196155,0.0,0.24193548387096775,0.0,0.24193548387096775,38,0.9968142885775491,1.385189862700173e-26,3.596577585214256e-08,1.0,0.15172147350794865,0.15172147350794865,0.0,0.2894736842105263,0.0,0.2894736842105263,1118,0.9951904752931521,0.0,9.330604654836858e-185,1.0,0.1122081706268455,0.1122081706268455,0.0008944543828264759,0.1368515205724508,0.0008944543828264759,0.1368515205724508,1095,0.9944226313602372,0.0,4.5179737083812854e-181,1.0,0.11169454814706742,0.11169454814706742,0.0,0.17168949771689498,0.0,0.17168949771689498
phrase_complexity_core_psalm,2392,0.9948462989589932,0.0,0.0,1.0,11.82969272127082,0.0004997501249375312,0.112568509996965,0.112568509996965,0.0004180602006688963,0.15719063545150502,0.4506688963210702,0.0004180602006688963,0.15719063545150502,0.4506688963210702,79,0.9940068613064629,1.5870057594365833e-52,5.594388752140666e-15,1.0,0.09012541396790522,0.09012541396790522,0.0,0.11392405063291139,0.0,0.11392405063291139,62,0.9953418037898798,6.989611872871152e-42,3.765009979861303e-12,1.0,0.13910140700196155,0.13910140700196155,0.0,0.24193548387096775,0.0,0.24193548387096775,38,0.9971754652430456,1.2754557261546337e-26,3.596577585214256e-08,1.0,0.15172147350794865,0.15172147350794865,0.0,0.2894736842105263,0.0,0.2894736842105263,1118,0.9948735847589555,0.0,9.330604654836858e-185,1.0,0.1122081706268455,0.1122081706268455,0.0008944543828264759,0.1368515205724508,0.0008944543828264759,0.1368515205724508,1095,0.99464386192563,0.0,4.5179737083812854e-181,1.0,0.11169454814706742,0.11169454814706742,0.0,0.17168949771689498,0.0,0.17168949771689498
phrase_signature_1_2gram_psalm,2392,0.9948271507534198,0.0,0.0,1.0,46.221510473573474,0.0004997501249375312,0.112568509996965,0.112568509996965,0.0004180602006688963,0.15719063545150502,0.4506688963210702,0.0004180602006688963,0.15719063545150502,0.4506688963210702,79,0.9938359083169266,1.719877012337236e-52,5.594388752140666e-15,1.0,0.09012541396790522,0.09012541396790522,0.0,0.11392405063291139,0.0,0.11392405063291139,62,0.9956617361933473,6.208363185543985e-42,3.765009979861303e-12,1.0,0.13910140700196155,0.13910140700196155,0.0,0.24193548387096775,0.0,0.24193548387096775,38,0.9967481066464616,1.4062882678880642e-26,3.596577585214256e-08,1.0,0.15172147350794865,0.15172147350794865,0.0,0.2894736842105263,0.0,0.2894736842105263,1118,0.9948023613570544,0.0,9.330604654836858e-185,1.0,0.1122081706268455,0.1122081706268455,0.0008944543828264759,0.1368515205724508,0.0008944543828264759,0.1368515205724508,1095,0.9946349258696014,0.0,4.5179737083812854e-181,1.0,0.11169454814706742,0.11169454814706742,0.0,0.17168949771689498,0.0,0.17168949771689498
phrase_function_1_2gram_psalm,2392,0.9946559380612237,0.0,0.0,1.0,45.859314189398305,0.0004997501249375312,0.112568509996965,0.112568509996965,0.0004180602006688963,0.15719063545150502,0.4506688963210702,0.0004180602006688963,0.15719063545150502,0.4506688963210702,79,0.9935080753005365,2.0062599082937844e-52,5.594388752140666e-15,1.0,0.09012541396790522,0.09012541396790522,0.0,0.11392405063291139,0.0,0.11392405063291139,62,0.9950252442497033,7.858839346879744e-42,3.765009979861303e-12,1.0,0.13910140700196155,0.13910140700196155,0.0,0.24193548387096775,0.0,0.24193548387096775,38,0.9970924843972839,1.2998800607172256e-26,3.596577585214256e-08,1.0,0.15172147350794865,0.15172147350794865,0.0,0.2894736842105263,0.0,0.2894736842105263,1118,0.9948716050484594,0.0,9.330604654836858e-185,1.0,0.1122081706268455,0.1122081706268455,0.0008944543828264759,0.1368515205724508,0.0008944543828264759,0.1368515205724508,1095,0.9943635454678249,0.0,4.5179737083812854e-181,1.0,0.11169454814706742,0.11169454814706742,0.0,0.17168949771689498,0.0,0.17168949771689498
