model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
phrase_marginal_typ_function,1104,0.603447732986433,0.6454972243679029,0.2493810833348716,0.4589323103427887,0.2212710976600647,3410,0.6531147726562148,48,0.5909270773482765,0.5965296344679833,26,0.5788563343919977,0.5419778060370378,27,0.6241371161469067,0.74661719289665,492,0.6565058537039952,0.8929026223964216,511,0.5536965766179661,0.4282722293029082
phrase_typ_1_2_3gram,1104,0.2923525232213705,0.22837314853137686,0.2295345493163457,0.21332411522630168,0.1640583754816661,3410,0.4817090731457379,48,0.23979250832946572,0.1613352139167192,26,0.37265475273248405,0.9711825869200316,27,0.35756628226654413,0.8792124548152791,492,0.2863292391527313,0.4449947996381818,511,0.29555742931740425,0.5012442299862486
phrase_rela_1gram_psalm,1110,1.0,1.0,1.15915476698064e-16,0.9997115731239319,0.0006546230288222432,3416,0.4405999535137571,48,1.0,0.4405999535137571,26,1.0,0.4405999535137571,27,1.0,0.4405999535137571,495,1.0,0.4405999535137571,514,1.0,0.4405999535137571
phrase_typ_1_2gram,1104,0.4298574738720955,0.3651483781994723,0.24900909785405315,0.3385668992996216,0.21321986615657806,3410,0.4281522928329514,48,0.3830828222433195,0.20877943385916797,26,0.43970583516290945,0.47434105314096986,27,0.504147754791225,0.7765733018986564,492,0.43326306349112,0.44412448942237986,511,0.42654580695867783,0.4126205932164356
phrase_complexity_core_psalm,1110,1.0,1.0,1.4809223598050946e-16,0.997248649597168,0.00648025656118989,3416,0.424574301472847,48,1.0,0.424574301472847,26,1.0,0.424574301472847,27,1.0,0.424574301472847,495,1.0,0.424574301472847,514,1.0,0.424574301472847
phrase_typ_1gram,1104,0.6827407223803531,0.7071067811865476,0.24819272736217343,0.5799673199653625,0.24728083610534668,3410,0.41561410109114555,48,0.6613415871184576,0.3290763183865487,26,0.6744194714846065,0.3819630870182167,27,0.6809324125128049,0.408301323052908,492,0.7245412557879749,0.5846548325363188,511,0.6450234483015553,0.26308600925498954
phrase_det_1gram,1104,0.8006377884296636,0.8682431364375007,0.22543413536852677,0.723112940788269,0.24589931964874268,3410,0.31527068782514606,48,0.8059578473042963,0.33690579800858295,26,0.7473878181129339,0.09871876571004959,27,0.8770998737425525,0.6262194347436488,492,0.8429520494414471,0.48735030590716316,511,0.758066445339658,0.14214559276259317
phrase_subphrase_rela_1gram,234,0.9024824459031362,0.9999999999999998,0.16570251806546263,0.8609170913696289,0.17475669085979462,1272,0.23784699932808137,10,0.9316496580927724,0.4047488332214502,7,0.8744743347942345,0.07757782181560335,7,0.8448876517675848,-0.09172432553614959,117,0.9240198732464204,0.3610893612503695,93,0.8786939428456152,0.10172343839039881
phrase_rela_1gram,1104,0.9781647909611658,1.0,0.10589523960046443,0.9698883891105652,0.12104558199644089,3410,0.06837425797865126,48,0.9916986244205512,0.18018200210419358,26,0.9858448027327024,0.13182152837768457,27,0.9610789356435858,-0.07277798430708848,492,0.9898725702079357,0.16509632791024245,511,0.966133061787102,-0.03102407590203163
phrase_complexity_core,1104,0.9564756820448234,0.9918365981341757,0.09859794166294787,0.9549223184585571,0.08876137435436249,3410,0.01750044540843555,48,0.9673044350992095,0.13949892879327416,26,0.9406052263595925,-0.16129867527519787,27,0.9777261240386671,0.25691136201959,492,0.9699019094272034,0.16876249469553298,511,0.942216163248817,-0.14314959972356125
