subject,reference,n_pairs,auc_subject,auc_reference,auc_joined,delta_over_reference,delta_over_subject
clause_signature_inventory,sp_unigram,1028,0.5909382495827248,0.6163897487522283,0.6575927282300209,0.04120297947779261,0.06665447864729612
clause_signature_inventory,morph_vt_atomic,1028,0.5909382495827248,0.6248763840617695,0.6633833571680864,0.0385069731063169,0.0724451075853616
clause_marginal_typ_rela,sp_unigram,1028,0.6151627986594238,0.6163897487522283,0.6542968985818163,0.03790714982958798,0.039134099922392473
clause_typ_1gram,sp_unigram,1039,0.5878568629201077,0.6149283434152241,0.6484832175058074,0.03355487409058333,0.06062635458569965
clause_typ_1gram,morph_vt_atomic,1039,0.5878568629201077,0.6225833816835615,0.6523580962768367,0.029774714593275187,0.06450123335672897
clause_marginal_typ_rela,morph_vt_atomic,1028,0.6151627986594238,0.6248763840617695,0.6465980399012724,0.021721655839502918,0.0314352412418486
clause_rela_1gram,sp_unigram,1028,0.5694917985486064,0.6163897487522283,0.6271674908214481,0.010777742069219776,0.05767569227284164
clause_rela_1gram,morph_vt_atomic,1028,0.5694917985486064,0.6248763840617695,0.6255281142848373,0.000651730223067859,0.05603631573623091
clause_kind_inventory,sp_unigram,1037,0.5460923849499073,0.6152662162788687,0.6054955623008542,-0.009770653978014465,0.05940317735094691
clause_tab_inventory,morph_vt_atomic,1039,0.5324537273943551,0.6225833816835615,0.6078303882865168,-0.014752993397044722,0.07537666089216166
clause_kind_inventory,morph_vt_atomic,1037,0.5460923849499073,0.6227039739014466,0.6074578033591638,-0.015246170542282833,0.06136541840925647
clause_tab_inventory,sp_unigram,1039,0.5324537273943551,0.6149283434152241,0.5990668961490215,-0.015861447266202533,0.06661316875466639
clause_mother_edge_distance,sp_unigram,1039,0.45853834803728755,0.6149283434152241,0.5069418870157246,-0.10798645639949944,0.04840353897843708
clause_mother_edge_distance,morph_vt_atomic,1039,0.45853834803728755,0.6225833816835615,0.5035664237966928,-0.11901695788686872,0.04502807575940526
