model,scope,prevalence,point_ap,ap_ci_low,ap_ci_high,ap_ci_low_pct,ap_ci_high_pct,point_gap,gap_ci_low,gap_ci_high,gap_ci_low_pct,gap_ci_high_pct,point_auc,auc_ci_low,auc_ci_high,auc_ci_low_pct,auc_ci_high_pct,n_valid_resamples,n_valid_jackknife
alephbert_consonantal,overall,0.2850539291217257,0.33529163275856577,0.2752678597232071,0.37684759746149543,0.2917750324154701,0.38831165739791684,0.19596691051223808,0.02046238175472081,0.3135398996273188,0.02995708725545879,0.32142969356199597,0.5544899702072144,0.5157724914100891,0.5865006198965478,0.5147871360182762,0.5863008707761764,1000,150
alephbert_consonantal,Antithetic,0.01694915254237288,0.024550980349006636,0.010557322503353339,0.05003957301627954,0.012807752717576004,0.06437580593642075,0.12314655228325216,-0.49782084258589127,0.5686794462145426,-0.39893121315605484,0.6361285545093351,0.5404244661331177,0.3982235068046439,0.6484748460094288,0.4213792011141777,0.6633461281657218,1000,148
alephbert_consonantal,Emblematic,0.009252669039145907,0.0347329759402988,0.01129752373694196,0.09014412171774706,0.012471340244579061,0.10105843240406596,0.49075837244554404,-0.02377215203083003,1.0845959238100282,-0.03632870930197894,1.0664979973521551,0.6044844388961792,0.4834948043701933,0.7499621399578067,0.4778269477188587,0.7463932737708092,1000,148
alephbert_consonantal,Staircase,0.0096051227321238,0.01717197376032324,0.005729656710828193,0.0629782074328015,0.0067838002430127995,0.07626503892859007,0.010257003881649684,-0.47318992453302217,0.6047400577754455,-0.44310413791549697,0.6151369091096525,0.482612282037735,0.3471459077777833,0.6277780693058849,0.3589121662080288,0.641424462199211,1000,146
alephbert_consonantal,Synonymous,0.15096065873741996,0.18615716711626412,0.14529489014780914,0.22939882391919203,0.1479294367966796,0.23334374234243765,0.26580216626259207,0.13200343930696762,0.4243501903902145,0.11826742079089896,0.4070357148031636,0.5756276845932007,0.5374831678815712,0.6179513665380718,0.5340442001819611,0.6151769310235977,1000,149
alephbert_consonantal,Synthetic,0.1558520315342632,0.18843838442630242,0.14510524267367564,0.22555073903240802,0.15252122131508009,0.23437166837382215,0.13035716168579398,-0.10119446582901995,0.2723393512304096,-0.06326105150523065,0.304266825924726,0.536693811416626,0.48704378577531887,0.5730406232592832,0.49190022945404055,0.5772233188152313,1000,150
berel_consonantal,overall,0.2850539291217257,0.35574199339353385,0.2923965508647475,0.39783727421327914,0.3121764690079927,0.4082900764554439,0.3432844944625971,0.23929551352067532,0.44155712427847515,0.23338987661529625,0.4389725598046362,0.5883365273475647,0.5613687767416304,0.6155959889070695,0.5579056456685066,0.613988047838211,1000,150
berel_consonantal,Antithetic,0.01694915254237288,0.026320644977359087,0.007587639693535436,0.06429187851424227,0.011297079422917702,0.08662034867359492,0.14645959168072986,-0.19067642341681357,0.5982257406464014,-0.2189829554685861,0.5494913656852203,0.5335099101066589,0.43388143488835307,0.645263623654358,0.4280222736299038,0.6404561668634414,1000,148
berel_consonantal,Emblematic,0.009252669039145907,0.06655607476047116,0.008363997391562147,0.16875076952169255,0.015026027395194931,0.207727361449745,0.7472458026728682,-0.019003851005621606,1.588181625405095,-0.06263438574387202,1.5682480567267103,0.6152326464653015,0.4648872285785848,0.7721208650119169,0.4648303002119064,0.7718727618455886,1000,148
berel_consonantal,Staircase,0.0096051227321238,0.04808926812872388,0.014754063336786895,0.10980786300736257,0.016514953961406797,0.12502764144521014,0.9231349587503789,0.2482871482655397,1.4628275148788057,0.2799516197004679,1.4960380568449843,0.6811010241508484,0.5011007802701821,0.8036152978083658,0.5328774586319923,0.8149174749851227,1000,146
