genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Hymn,0.05650220184695223,0.04879977804546508,1000,0.007702423801487154,0.015984015984015984
Lament,0.34414397426985216,0.32798523724411915,1000,0.016158737025733005,0.06493506493506493
Praise,0.15984801729316223,0.16420069975697657,1000,-0.004352682463814345,0.7662337662337663
Royal,0.02946780930991734,0.032485260267297596,1000,-0.0030174509573802563,0.7362637362637363
Thanksgiving,0.049026419892793695,0.05449547412383671,1000,-0.005469054231043012,0.6523476523476524
Trust,0.017201819511851985,0.016117708056375902,1000,0.0010841114554760826,0.16883116883116883
Wisdom,0.0728632986973322,0.049948971892332515,1000,0.022914326804999684,0.058941058941058944
