genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Hymn,0.049180505507593744,0.04735014290448769,1000,0.0018303626031060533,0.13486513486513488
Lament,0.27052393805548997,0.25490200294556226,1000,0.01562193510992771,0.003996003996003996
Praise,0.1729692276126728,0.1937731748969202,1000,-0.020803947284247393,1.0
Royal,0.05088129757227357,0.0427572536943067,1000,0.00812404387796687,0.03496503496503497
Thanksgiving,0.04270991698726543,0.04315713762482055,1000,-0.000447220637555118,0.42357642357642356
Trust,0.020620693229197448,0.02872440899414504,1000,-0.008103715764947592,0.6883116883116883
Wisdom,0.03974732048369087,0.037320898683940965,1000,0.0024264217997499032,0.23476523476523475
