model,metric,source,genre,gap,p_perm,p_maxT,perm_q,perm_q_by,maxT_q,maxT_q_by
morph_atomic_core,content_distance,raw,Hymn,0.0017087449736348688,0.16578342165783422,0.8204179582041796,0.4123331256617928,1.0,1.0,1.0
morph_atomic_core,content_distance,raw,Lament,0.004987480853066691,9.999000099990002e-05,0.058994100589941006,0.00024869307941000773,0.0012825282223389912,0.2712136193788029,1.0
morph_atomic_core,content_distance,raw,Praise,0.002424898864563367,0.014798520147985201,0.5786421357864213,0.02990534279905343,0.1542240187362637,1.0,1.0
morph_atomic_core,content_distance,raw,Royal,0.0030054662343885867,0.07379262073792621,0.3952604739526047,0.1988301169883012,1.0,0.9848732518052543,1.0
morph_atomic_core,content_distance,raw,Thanksgiving,0.005373722136684949,0.009299070092990702,0.0377962203779622,0.05637561243875613,0.2907331164014701,0.2547611905476119,1.0
morph_atomic_core,content_distance,raw,Trust,0.002899299093059726,0.1630836916308369,0.42345765423457654,0.41256362168661176,1.0,1.0,1.0
morph_atomic_core,content_distance,raw,Wisdom,0.001715189171215846,0.2556744325567443,0.8182181781821818,0.5393504127848086,1.0,1.0,1.0
morph_atomic_core,content_distance,length_controlled,Hymn,0.001922945400331598,0.1344865513448655,0.7516248375162484,0.492495194924952,1.0,1.0,1.0
morph_atomic_core,content_distance,length_controlled,Lament,0.0050826174217144795,9.999000099990002e-05,0.052894710528947106,0.0002309292880235786,0.001190919063600492,0.25125106536965347,1.0
morph_atomic_core,content_distance,length_controlled,Praise,0.0024632656163269175,0.0136986301369863,0.5611438856114389,0.027513575173094933,0.1418894998632586,1.0,1.0
morph_atomic_core,content_distance,length_controlled,Royal,0.0029311230673463857,0.07879212078792121,0.41325867413258677,0.2004466220044662,1.0,0.9796020397960205,1.0
morph_atomic_core,content_distance,length_controlled,Thanksgiving,0.005391852274814287,0.008799120087991202,0.0364963503649635,0.05334466553344666,0.2751023036917137,0.22247150284971504,1.0
