model,metric,n_pairs_total,n_pairs_valid,raw_gap,raw_p,raw_effect_size,length_controlled_gap,length_controlled_p,length_controlled_effect_size,length_and_content_controlled_gap,length_and_content_controlled_p,length_and_content_controlled_effect_size,raw_q,raw_q_by,length_controlled_q,length_controlled_q_by,length_and_content_controlled_q,length_and_content_controlled_q_by
morph_atomic_core,content_distance,11026,11026,0.0037244595207655516,9.999000099990002e-05,4.678514063543201,0.003835232538768262,9.999000099990002e-05,4.830653030295394,nan,nan,nan,0.00022043250220432503,0.0011367863788913786,0.0002309292880235786,0.001190919063600492,nan,nan
morph_atomic_core,structural_distance,11026,11026,0.00469071329256307,0.006999300069993001,2.511152197925847,0.003078840657886868,0.047295270472952705,1.7271148019092772,0.0017899353679634905,0.1576842315768423,1.0173852564997683,0.02514563358478967,0.12967785359205355,0.16053567057087392,0.8278940800753763,0.6054965931978231,1.0
morph_atomic_core,adjacent_similarity_distance,11026,11026,0.003651638623108862,0.00029997000299970003,3.8065638068069885,0.003170504525738348,0.0005999400059994001,3.346891968480216,0.0025077282701227877,0.004399560043995601,2.689285038750755,0.0013855757281414714,0.007145514381602952,0.004156727184424415,0.02143654314480885,0.03282748648212102,0.16929372534874687
morph_atomic_core,step_magnitude_distance,11026,11026,0.006140250549137277,9.999000099990002e-05,4.242518382768844,0.0054562458632567284,9.999000099990002e-05,3.800517477388563,0.003778480241294208,0.0030996900309969004,2.78116499737904,0.00042169696073870874,0.0021747217683139417,0.0008082525080825251,0.004168216722601722,0.019398060193980604,0.10003720134244132
morph_atomic_core,turning_angle_distance,11026,9870,0.0066035846931061515,0.0402959704029597,1.757886313658891,0.004904392054647174,0.11188881111888811,1.310043889685179,0.0006858987705404768,0.41415858414158585,0.19587949572103408,0.1211307440684503,0.5182631018352517,0.22188257364739716,0.9493341409403588,0.5916551202022655,1.0
morph_atomic_core_psalm,content_distance,11026,11026,0.0034019420522986826,9.999000099990002e-05,4.777886589790218,0.00348307798877615,9.999000099990002e-05,4.9014462616803804,nan,nan,nan,0.00022043250220432503,0.0011367863788913786,0.0002309292880235786,0.001190919063600492,nan,nan
morph_atomic_core_psalm,structural_distance,11026,11026,-6.8857197964225425e-18,0.7202279772022798,-0.6179859549772054,-7.363881400332842e-18,0.736026397360264,-0.6609546302311392,-6.529054452384716e-18,0.7093290670932907,-0.5861952709877787,0.8417122143207367,1.0,0.8637710941549523,1.0,0.8471640931144979,1.0
morph_atomic_core_psalm,adjacent_similarity_distance,11026,11026,-6.670148425558116e-18,0.7276272372762723,-0.6353470029520661,-8.817440046729069e-18,0.7964203579642036,-0.8452775045682286,-7.159869357944016e-18,0.7457254274572542,-0.6857148458133565,0.8460452805294184,1.0,0.8765767867657678,1.0,0.8411089123645774,1.0
morph_atomic_core_psalm,step_magnitude_distance,11026,11026,0.0,1.0,nan,0.0,1.0,nan,0.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0
morph_atomic_core_psalm,turning_angle_distance,11026,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
