model,metric,source,genre,gap,p_perm,p_maxT,perm_q,perm_q_by,maxT_q,maxT_q_by
morph_atomic_core,content_distance,raw,Hymn,0.0017087449736348688,0.16578342165783422,0.8204179582041796,0.4108545667172413,1.0,1.0,1.0
morph_atomic_core,content_distance,raw,Lament,0.004987480853066691,9.999000099990002e-05,0.058994100589941006,0.00016763029579395004,0.0007759628543693985,0.1854905418549054,0.8586381693985744
morph_atomic_core,content_distance,raw,Praise,0.002424898864563367,0.014798520147985201,0.5786421357864213,0.028117188281171882,0.1301548361062271,1.0,1.0
morph_atomic_core,content_distance,raw,Royal,0.0030054662343885867,0.07379262073792621,0.3952604739526047,0.16148385161483853,0.7475108830425207,0.7830011116535406,1.0
morph_atomic_core,content_distance,raw,Thanksgiving,0.005373722136684949,0.009299070092990702,0.0377962203779622,0.03786049966431928,0.1752567532511456,0.17261131029754165,0.7990200363278035
morph_atomic_core,content_distance,raw,Trust,0.002899299093059726,0.1630836916308369,0.42345765423457654,0.33132686731326866,1.0,0.8816428701957391,1.0
morph_atomic_core,content_distance,raw,Wisdom,0.001715189171215846,0.2556744325567443,0.8182181781821818,0.4417921844179219,1.0,1.0,1.0
morph_atomic_core,content_distance,length_controlled,Hymn,0.001922945400331598,0.1344865513448655,0.7516248375162484,0.41125887411258877,1.0,1.0,1.0
morph_atomic_core,content_distance,length_controlled,Lament,0.0050826174217144795,9.999000099990002e-05,0.052894710528947106,0.00015403865018903516,0.0007130469472583662,0.1722494417224944,0.797344941912022
morph_atomic_core,content_distance,length_controlled,Praise,0.0024632656163269175,0.0136986301369863,0.5611438856114389,0.025555508965232506,0.11829678870160573,1.0,1.0
morph_atomic_core,content_distance,length_controlled,Royal,0.0029311230673463857,0.07879212078792121,0.41325867413258677,0.16441992164419922,0.76110199000693,0.797747497977475,1.0
morph_atomic_core,content_distance,length_controlled,Thanksgiving,0.005391852274814287,0.008799120087991202,0.0364963503649635,0.03582498892967846,0.16583434716237433,0.1494064879226363,0.6916046069158112
morph_atomic_core,content_distance,length_controlled,Trust,0.003028288297191656,0.15028497150284972,0.38676132386761325,0.31726827317268275,1.0,0.8042302912565886,1.0
morph_atomic_core,content_distance,length_controlled,Wisdom,0.0012779040220029624,0.32826717328267174,0.9232076792320768,0.456371436027129,1.0,1.0,1.0
morph_atomic_core,structural_distance,raw,Hymn,-0.006697143364056191,0.9464053594640536,1.0,0.9995000499950005,1.0,1.0,1.0
morph_atomic_core,structural_distance,raw,Lament,0.0031698383474333403,0.11408859114088592,0.9069093090690931,0.38253233500179395,1.0,1.0,1.0
morph_atomic_core,structural_distance,raw,Praise,0.006490259176194613,0.0115988401159884,0.5124487551244875,0.05088776836602053,0.2355601522192817,1.0,1.0
morph_atomic_core,structural_distance,raw,Royal,0.0028657063219065804,0.30226977302269775,0.929007099290071,0.8910884421761905,1.0,1.0,1.0
morph_atomic_core,structural_distance,raw,Thanksgiving,0.004526891135176292,0.22657734226577342,0.7585241475852414,0.7349098423490984,1.0,1.0,1.0
morph_atomic_core,structural_distance,raw,Trust,0.014004276772329294,0.0331966803319668,0.06629337066293371,0.23652634736526346,1.0,0.4597540245975402,1.0
morph_atomic_core,structural_distance,raw,Wisdom,0.0011392995139552498,0.4246575342465753,0.9956004399560044,0.905069493050695,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Hymn,-0.009814001714164343,0.9916008399160084,1.0,0.9996000399960004,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Lament,0.0017854937270076945,0.23587641235876414,0.9823017698230176,0.7469419724694197,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Praise,0.005931979566555666,0.014898510148985102,0.5452454754524547,0.05806294370562944,0.26877413368220043,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Royal,0.003947483443186727,0.21927807219278073,0.8003199680031997,0.88765829299423,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Thanksgiving,0.004263077130281482,0.22927707229277072,0.7595240475952405,0.7260440622604406,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_controlled,Trust,0.012127338037087532,0.0438956104389561,0.09219078092190781,0.2502049795020498,1.0,0.5254874512548745,1.0
morph_atomic_core,structural_distance,length_controlled,Wisdom,0.007502292761546475,0.08539146085391461,0.36636336366363365,0.31631836816318365,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_and_content_controlled,Hymn,-0.01046024531834415,0.996000399960004,1.0,1.0,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_and_content_controlled,Lament,7.738022534022092e-05,0.48035196480351966,0.9998000199980002,0.9540580825638365,1.0,1.0,1.0
morph_atomic_core,structural_distance,length_and_content_controlled,Praise,0.0051041507318561686,0.0292970702929707,0.6436356364363564,0.12538746125387462,0.5804202150683101,1.0,1.0
