model,genre,n_same_genre,n_different_genre,prevalence,average_precision,ap_ci_low,ap_ci_high,separation_auc,auc_ci_low,auc_ci_high,separation_p_naive,separation_p_perm,separation_p_maxT,n_permutations,naive_q,naive_q_by,perm_q,perm_q_by,maxT_q,maxT_q_by
homograph_binary,Danklied Israels,6,1206,0.0049504950495049506,0.005965356710657833,0.00291970802919708,0.018298168754893904,0.5106412382531785,0.2671458291539769,0.9189063625850264,0.46436267693387184,0.41679160419790107,1.0,2000,0.9484732287745635,1.0,0.9511910711311011,1.0,1.0,1.0
homograph_binary,Danklied des Einzelnen,276,6760,0.03922683342808414,0.049159657920398565,0.02597070316473552,0.08888396482611363,0.5147280464797187,0.43397392822247627,0.6903196450730048,0.20304995590737757,0.34132933533233384,1.0,2000,0.2592127096689926,1.0,0.41862563863699215,1.0,1.0,1.0
homograph_binary,Fluch,1,608,0.0016420361247947454,0.0026109660574412533,nan,nan,0.3717105263157895,nan,nan,0.6724465536444053,0.6848697394789579,1.0,2000,0.9098072770459689,1.0,0.9544088176352705,1.0,1.0,1.0
homograph_binary,Hymnus,2850,17485,0.140152446520777,0.1301635810225511,0.09260625369602608,0.16315771243842803,0.45468910193699863,0.41657448396704155,0.5392377794831547,0.9999999999999961,0.975512243878061,1.0,2000,0.9999999999999961,1.0,0.9820089955022488,1.0,1.0,1.0
homograph_binary,Klagelied des Einzelnen,4095,19594,0.17286504284689097,0.18179517774312298,0.12938804329082929,0.24013723827458633,0.511705889632806,0.46681225817239724,0.5546505785870056,0.009136049921880888,0.2938530734632684,1.0,2000,0.011420062402351109,0.06131281087157971,0.36352957541847636,1.0,1.0,1.0
homograph_binary,Klagelied des Volkes,406,8034,0.0481042654028436,0.04694602215504468,0.028210857830297052,0.07064946099821849,0.5017812229060974,0.3897032556535455,0.702847208266771,0.45173224348120466,0.46526736631684157,1.0,2000,0.9999999999998832,1.0,1.0,1.0,1.0,1.0
homograph_binary,Königspsalm,45,2964,0.014955134596211365,0.029648754868569254,0.012491382414583523,0.07260601863743611,0.6937246963562753,0.5657915219328623,0.8790126043708076,3.963632638999819e-06,0.004497751124437781,0.4867566216891554,2000,2.5033469298946223e-05,0.00013440139944154722,0.025701434996787318,0.13798761929372613,1.0,1.0
homograph_binary,Liturgie,153,5161,0.028791870530673693,0.03718315786712543,0.021809356410614083,0.06201052636264158,0.6238442415653854,0.514869586968479,0.7940529767678383,8.517652161832692e-08,0.0069965017491254375,0.7476261869065467,2000,2.689784893210324e-07,1.4441100812959147e-06,0.02047756609500128,0.10994135520963548,1.0,1.0
homograph_binary,Mischgedicht,45,2879,0.015389876880984952,0.03580931018690092,0.016482783238345854,0.07074520098362956,0.7667206977731466,0.6325978194628087,0.9007441924270498,3.8983869946420267e-10,0.0009995002498750624,0.2943528235882059,2000,1.966061500974023e-08,1.0555525243565849e-07,0.003634546363182045,0.019513400708203697,1.0,1.0
homograph_binary,Thronbesteigungslied,21,2097,0.009915014164305949,0.02086261041191998,0.0075247638645625226,0.06657047786010023,0.6696414378817812,0.5144818106769202,0.8568138926469323,0.0036945303080524,0.02948525737131434,0.5552223888055972,2000,0.008056783812258985,0.04325581110769946,0.05997001499250374,0.321971111685361,1.0,1.0
homograph_binary,Wallfahrtslied,0,305,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0004997501249375312,2000,nan,nan,nan,nan,0.0004997501249375312,0.0026830925973780084
homograph_binary,Weisheitsgedicht,55,3254,0.01662133575098217,0.03454310969364297,0.013006509341096397,0.07818072648243805,0.66299938537185,0.5110073145591947,0.8425731061751472,1.648722769553941e-05,0.011494252873563218,0.5777111444277861,2000,6.182710385827279e-05,0.00033194157720358553,0.037278657968313145,0.20014420456117038,1.0,1.0
homograph_binary,Zionslied,15,1805,0.008241758241758242,0.01789056986905386,0.006568314040606529,0.09905816398203378,0.747719298245614,0.5913873015458246,0.9497058781511416,0.00046877482345521784,0.009495252373813094,0.33833083458270863,2000,0.001442384072169901,0.007743970103256633,0.025896142837672075,0.13903298004595135,1.0,1.0
homograph_binary,prophetische Gerichtsrede,1,605,0.0016501650165016502,0.010101010101010102,nan,nan,0.8396694214876033,nan,nan,0.12062809689966097,0.08767535070140281,0.1679160419790105,2000,0.29166827413826896,1.0,0.23920180787106127,1.0,0.4667231601590509,1.0
homograph_binary,"prophetische Schelt-, Droh- und Mahnrede",21,2088,0.00995732574679943,0.03295073787804658,0.005469086848766157,0.5,0.4692004196314541,0.2722805049337046,0.998497291443284,0.6867223762921331,0.6361819090454772,1.0,2000,0.7818676351858509,1.0,0.7311127045173066,1.0,1.0,1.0
