model,scope,prevalence,point_ap,ap_ci_low,ap_ci_high,ap_ci_low_pct,ap_ci_high_pct,point_gap,gap_ci_low,gap_ci_high,gap_ci_low_pct,gap_ci_high_pct,point_auc,auc_ci_low,auc_ci_high,auc_ci_low_pct,auc_ci_high_pct,n_valid_resamples,n_valid_jackknife
alephbert_consonantal,overall,0.2850539291217257,0.33522728269421576,0.2752734156087815,0.3767038531583865,0.29146011043141606,0.3882757753692997,0.1959666840860354,0.020462813209188885,0.3135391953837671,0.029957345247561863,0.3214303824106491,0.5544899425287356,0.5157724876319775,0.586500612949264,0.5147871468924592,0.5863008713162184,1000,150
alephbert_consonantal,Antithetic,0.01694915254237288,0.024550980349006636,0.010557322503353339,0.0500395730162796,0.012807752717576004,0.06437580593642075,0.12314672475701272,-0.4978211091713567,0.5686791747699051,-0.39893182714722475,0.6361290228376683,0.5404244492337165,0.39822349762422243,0.6484748552376176,0.4213792066995619,0.6633461039124345,1000,148
alephbert_consonantal,Emblematic,0.009252669039145907,0.0347329759402988,0.01129752373694196,0.09014412171774706,0.012471340244579061,0.10105843240406596,0.4907581631518985,-0.023771536928521863,1.0845954959349937,-0.03632880488082497,1.0664974290722782,0.6044844164456233,0.4834948341075831,0.7499621237398195,0.4778269367076798,0.7463932998557521,1000,148
alephbert_consonantal,Staircase,0.0096051227321238,0.01717197376032324,0.005729656710828193,0.0629782074328015,0.0067838002430127995,0.07626503892859007,0.010257087489653038,-0.4731894340724351,0.6047404881765162,-0.4431039557710292,0.6151371618135585,0.48261228182205196,0.34714590598786466,0.6277780628739023,0.35891215189354236,0.6414244619249548,1000,146
alephbert_consonantal,Synonymous,0.15096065873741996,0.18615716711626412,0.14529489014780914,0.22939882391919203,0.1479294367966796,0.23334374234243765,0.26580218583734166,0.13200305598779627,0.424349795956216,0.11826828107882303,0.4070352047218533,0.5756276848949263,0.5374831828899465,0.6179513564005163,0.5340441951658014,0.6151769382306029,1000,149
alephbert_consonantal,Synthetic,0.1558520315342632,0.18824383189711955,0.14430932482192535,0.2247485468935716,0.15246982991544203,0.2341860633243101,0.1303564999095494,-0.10119925502776365,0.2723384059419549,-0.06326010311948135,0.3042669185212463,0.5366938369336732,0.4870437713367746,0.5730406375217898,0.49190022312955345,0.5772233128854076,1000,150
berel_consonantal,overall,0.2850539291217257,0.3557331886978836,0.29240103767854464,0.39783874669134667,0.31217615993102016,0.4082900764554439,0.3432852759004298,0.23929499310517757,0.4415565521739443,0.2333887150470265,0.43897185900147156,0.5883365046080563,0.5613687978607133,0.6155960124070077,0.5579056714613487,0.61398804557953,1000,150
berel_consonantal,Antithetic,0.01694915254237288,0.026320644977359087,0.007587639693535436,0.06429187851424227,0.011297079422917702,0.08662034867359492,0.14645897586957568,-0.19067679076758076,0.5982241967863777,-0.21898185346819463,0.5494915354779749,0.5335099377394636,0.43388143676175117,0.6452636378473885,0.4280222722008761,0.6404561941944887,1000,148
berel_consonantal,Emblematic,0.009252669039145907,0.06655607476047116,0.008363997391562131,0.16875076952169255,0.015026027395194931,0.207727361449745,0.7472474239508983,-0.019004066226991516,1.5881827912471125,-0.06263336055174097,1.5682467375655442,0.6152326480990274,0.4648872238380691,0.7721208632686185,0.46483028603486726,0.7718727740844172,1000,148
berel_consonantal,Staircase,0.0096051227321238,0.04808926812872389,0.014754063336786895,0.10980786300736257,0.016514953961406797,0.12502764144521014,0.923136243819764,0.24828689898422318,1.4628267179529895,0.2799515947106981,1.4960375277260978,0.6811010004257131,0.5011007965436922,0.8036153141908182,0.5328774593143683,0.8149174692308211,1000,146
