genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Hymn,0.05084511743560122,0.04685400315767779,1000,0.003991114277923424,0.01998001998001998
Lament,0.26817564385537745,0.2726129648973271,1000,-0.00443732104194966,0.8051948051948052
Praise,0.14209412558048012,0.14573462621272945,1000,-0.003640500632249327,0.8601398601398601
Royal,0.054075857619597247,0.05628441742248982,1000,-0.0022085598028925707,0.48151848151848153
Thanksgiving,0.0308261266844118,0.030299987975304553,1000,0.0005261387091072475,0.35764235764235763
Trust,0.020340137347480657,0.01730110140487622,1000,0.003039035942604438,0.04295704295704296
Wisdom,0.07523195042604783,0.054869187504165744,1000,0.020362762921882084,0.07892107892107893
