genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Hymn,0.044764971077743194,0.04312511393578595,1000,0.001639857141957246,0.08891108891108891
Lament,0.2813482227395935,0.2816694408406516,1000,-0.0003212181010581183,0.5024975024975025
Praise,0.1351419431466615,0.14082186614733527,1000,-0.00567992300067377,0.98001998001998
Royal,0.05817072965502459,0.05002549729706211,1000,0.008145232357962474,0.0959040959040959
Thanksgiving,0.03769808750933911,0.03385356870297406,1000,0.0038445188063650493,0.13786213786213786
Trust,0.018161639630284266,0.01634356114442535,1000,0.0018180784858589163,0.10989010989010989
Wisdom,0.07404195380756116,0.05248256592539667,1000,0.021559387882164494,0.03296703296703297
