genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Hymn,0.06760636871929143,0.06242086933162409,1000,0.005185499387667339,0.07692307692307693
Lament,0.2723589768539284,0.2658649544552892,1000,0.006494022398639221,0.0969030969030969
Praise,0.20798331514926122,0.21624434420766306,1000,-0.008261029058401842,0.9180819180819181
Royal,0.033682123168492326,0.03463059126452889,1000,-0.0009484680960365616,0.6433566433566433
Thanksgiving,0.03081825339336764,0.0284067715564203,1000,0.0024114818369473413,0.14285714285714285
Trust,0.01507846846600253,0.01526058680229434,1000,-0.00018211833629181058,0.5504495504495505
Wisdom,0.046445125328003406,0.04597595928515041,1000,0.00046916604285299895,0.3246753246753247
