predictor,n_same_genre,n_different_genre,prevalence,average_precision,separation_auc,separation_p
shorter_side,2083,12941,0.13864483493077742,0.14435776991207755,0.514226277440771,0.018411511197673532
length_agreement,2083,12941,0.13864483493077742,0.13860390848728638,0.5066996702008447,0.16279413652317237
