predictor,n_same_genre,n_different_genre,prevalence,average_precision,separation_auc,separation_p
shorter_side,20198,120011,0.14405637298604226,0.13691324131373098,0.4671126721873118,1.0
length_agreement,20198,120011,0.14405637298604226,0.1585032059758924,0.5329796579057191,2.6266310380229627e-51
