model,prevalence,point_ap,ap_ci_low,ap_ci_high,ap_ci_low_pct,ap_ci_high_pct,point_gap,gap_ci_low,gap_ci_high,gap_ci_low_pct,gap_ci_high_pct,point_auc,auc_ci_low,auc_ci_high,auc_ci_low_pct,auc_ci_high_pct,n_valid_resamples,n_valid_jackknife
homograph_binary,0.13864483493077742,0.1649736868125602,0.12869383090211686,0.21540106037117612,0.12901130908641367,0.21669119669094122,0.19004201561704595,0.03323066376933044,0.37174588381085283,0.02917849651396391,0.36587185005000666,0.5553905547845696,0.5071378219805817,0.6067572077255939,0.5071638301172754,0.6069294783775266,1000,147
homograph_binary_psalm,0.13864483493077742,0.21486335109663987,0.16648312401065588,0.2861748379002674,0.166396239414685,0.2859921896542276,0.36515827374122245,0.23389874790702936,0.5098396099847742,0.23539692724489628,0.512997429192279,0.6150273835947281,0.5717886106063498,0.6628888628561984,0.5696514157410223,0.661608427071827,1000,147
homograph_count,0.13864483493077742,0.16451290082482795,0.12793070354788194,0.21728383058777193,0.1283500673352778,0.21763824910863142,0.20043857966029321,0.05900816203904343,0.39475512945608576,0.04004364551906303,0.37822186850072664,0.557244958590639,0.5123559991687326,0.6124111216021481,0.5108165300090691,0.6096403030976761,1000,147
homograph_count_psalm,0.13864483493077742,0.16399899360493098,0.12721963194960964,0.2130383430332057,0.1279962269963883,0.2172077516183501,0.20635267169081267,0.056565294372057616,0.3851477038396095,0.04834303823677395,0.37540636586903575,0.5574425205305085,0.5107228798091421,0.6083358055361924,0.5098039756363885,0.6081900214979467,1000,147
homograph_icf,0.13864483493077742,0.18024996470465815,0.14167160630708653,0.23571571141467582,0.14193454344456208,0.2368402599677547,0.2638227617564635,0.11123532564307193,0.42916321379291295,0.09800576655555969,0.42401882495290577,0.5748104983869515,0.5276946705248386,0.6207720565197501,0.5280559262629022,0.6211274374238404,1000,147
homograph_icf_position2,0.13864483493077742,0.1725171240630026,0.1368511686489252,0.22319117279283576,0.13718584730994382,0.22328391646198317,0.228761736653604,0.0720501314389654,0.3850702268342947,0.07650948493431224,0.38599966161388544,0.5676703527954319,0.5222840835697926,0.6141693443256857,0.5223509468059975,0.6143045811003016,1000,147
homograph_icf_position2_psalm,0.13864483493077742,0.17163467166399293,0.13369229065014135,0.2192741179072774,0.13687407774017493,0.22510423304173266,0.22855884309996027,0.05624667025351185,0.38260680736570235,0.062328440710458684,0.39096225516088,0.5686745966210324,0.5154237355757441,0.6132047303982417,0.5164924570945676,0.6161857934529485,1000,147
homograph_icf_position4,0.13864483493077742,0.16884531108861228,0.1335696975081834,0.21904943559750636,0.13406496522233877,0.22228386738227995,0.19933081073538017,0.05262146705580501,0.3385296604938554,0.055900919603013716,0.3422975629577116,0.5653320882473256,0.5189427259645982,0.6090973117744674,0.5224253641056824,0.6112147880602443,1000,147
homograph_icf_position4_psalm,0.13864483493077742,0.17028073664169413,0.1316703149247887,0.21518010164259127,0.1362752393133989,0.2262660558694589,0.212126883681602,0.05038680967536833,0.3485043152025321,0.07293769324388003,0.36740391300712694,0.5719892448845443,0.5190828007476538,0.616633423899484,0.5224489260795968,0.6187361777783837,1000,147
homograph_icf_position8,0.13864483493077742,0.16444870819151944,0.13116503648571487,0.2106959941715754,0.1323607631481461,0.21417308922521447,0.142955311013861,0.022927306762610605,0.25498653168845664,0.023941412385514303,0.2580149218674149,0.5536289500006734,0.5118160965510624,0.5976964800089397,0.511643807688263,0.5975814954517513,1000,147
