model,genre,n_same_genre,n_different_genre,prevalence,average_precision,ap_ci_low,ap_ci_high,separation_auc,auc_ci_low,auc_ci_high,separation_p_naive,separation_p_perm,separation_p_maxT,n_permutations,naive_q,naive_q_by,perm_q,perm_q_by,maxT_q,maxT_q_by
homograph_binary,Danklied Israels,6,676,0.008797653958944282,0.007512641717482324,0.004020974922032309,0.01826989046591741,0.33653846153846156,0.04322903711045902,0.8297308667058423,0.9163501984045288,0.927536231884058,1.0,2000,0.9947817580173883,1.0,0.9950024987506247,1.0,1.0,1.0
homograph_binary,Danklied des Einzelnen,78,2087,0.03602771362586605,0.0779684367430955,0.038213698790433445,0.14035585898114994,0.7502672219969776,0.651034465416838,0.8220129657360512,2.8306734823644953e-14,0.0004997501249375312,0.27786106946526734,2000,1.3064646841682285e-13,7.014236811377972e-13,0.0011758826469118382,0.006313159052654138,0.8349671318187061,1.0
homograph_binary,Fluch,0,173,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0004997501249375312,2000,nan,nan,nan,nan,0.0004997501249375312,0.0026830925973780084
homograph_binary,Hymnus,465,4421,0.09516987310683586,0.11467943693359742,0.07474248324991783,0.1708270969900983,0.5335843347853475,0.4647554773524018,0.6111706381229007,0.008513912505008178,0.18690654672663667,0.999000499750125,2000,0.0104251989857243,0.05597152022380398,0.21989005497251374,1.0,1.0,1.0
homograph_binary,Klagelied des Einzelnen,1176,6123,0.1611179613645705,0.1891166902625634,0.13220762254294516,0.2658482225821,0.5587255480340103,0.4972021707202063,0.627822769941168,8.341748130789484e-11,0.02948525737131434,0.9660169915042479,2000,1.6683496261578968e-10,8.957149400097025e-10,0.0563354686293217,0.30245771097715735,1.0,1.0
homograph_binary,Klagelied des Volkes,36,1484,0.02368421052631579,0.0324319827288362,0.011051166414811948,0.09908091874723722,0.5278339323150644,0.3401496694421629,0.7456573064865956,0.28391661681923785,0.3238380809595202,1.0,2000,0.946508144184988,1.0,0.9099450274862569,1.0,1.0,1.0
homograph_binary,Königspsalm,45,1636,0.02676977989292088,0.03409265319467956,0.014987568777453244,0.07979513919833459,0.5467400162999185,0.40698338152581015,0.7171211361878086,0.14207813283335047,0.22038980509745126,0.9875062468765617,2000,0.6852872862006282,1.0,0.6818812815814315,1.0,1.0,1.0
homograph_binary,Liturgie,153,2800,0.05181171689806976,0.04518531895798221,0.02691785157660674,0.07437140114288444,0.45899159663865546,0.3875259078128738,0.5536790710830714,0.9564395646519566,0.8195902048975512,1.0,2000,0.9994262053241604,1.0,0.9529688937044083,1.0,1.0,1.0
homograph_binary,Mischgedicht,45,1633,0.026817640047675805,0.03953075035217795,0.017712800286374123,0.08033784143926796,0.6455126896645574,0.48443061160131556,0.7628120293526438,0.00042709320108338575,0.021989005497251374,0.6241879060469765,2000,0.006776782062117398,0.03638365030360745,0.1222465690231807,0.6563257276663129,1.0,1.0
homograph_binary,Thronbesteigungslied,15,1006,0.014691478942213516,0.02293588865030738,0.007733359783333484,0.10004573284071637,0.5181245858184228,0.34344487664891155,0.7964316524989413,0.40484929030034494,0.39580209895052476,1.0,2000,0.5220723438975727,1.0,0.505279275255989,1.0,1.0,1.0
