genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Hymn,0.04374204257790359,0.04215515317700819,1000,0.0015868894008954013,0.000999000999000999
Lament,0.39184659527582605,0.36713875293589276,1000,0.024707842339933284,0.000999000999000999
Praise,0.12275811792085767,0.12329640977243711,1000,-0.0005382918515794421,0.6753246753246753
Royal,0.043260055120269786,0.046397683238400225,1000,-0.0031376281181304394,0.9820179820179821
Thanksgiving,0.031097144383557315,0.03390004233710893,1000,-0.0028028979535516148,0.964035964035964
Trust,0.015149750159896709,0.015538858202361762,1000,-0.00038910804246505316,0.7712287712287712
Wisdom,0.049556182776648666,0.06028217609350601,1000,-0.010725993316857342,1.0
