genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Hymn,0.03707122049763928,0.03589073864839189,1000,0.0011804818492473917,0.000999000999000999
Lament,0.3794179317297494,0.3530278314972818,1000,0.026390100232467628,0.000999000999000999
Praise,0.12592682390936627,0.12794021809775866,1000,-0.0020133941883923867,0.9920079920079921
Royal,0.0383344108452648,0.040958447850190864,1000,-0.0026240370049260622,0.983016983016983
Thanksgiving,0.03570829491972272,0.039424607601062506,1000,-0.0037163126813397826,0.9920079920079921
Trust,0.014640125274650133,0.014565383895970263,1000,7.474137867987014e-05,0.39760239760239763
Wisdom,0.06636878603202313,0.07854991113505702,1000,-0.012181125103033888,0.998001998001998
