genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Hymn,0.068711764091552,0.0558746851468467,1000,0.012837078944705295,0.05194805194805195
Lament,0.23408735493491784,0.23533631548411832,1000,-0.001248960549200484,0.5444555444555444
Praise,0.1515408228045652,0.16363801349974194,1000,-0.01209719069517673,0.981018981018981
Royal,0.032658957543301434,0.04012592933478237,1000,-0.007466971791480939,0.974025974025974
Thanksgiving,0.02569922756414792,0.030350177671431736,1000,-0.004650950107283815,0.5824175824175825
Trust,0.024782395609022838,0.026890835881299202,1000,-0.0021084402722763643,0.4435564435564436
Wisdom,0.05024910913885828,0.042763980964301264,1000,0.007485128174557015,0.1938061938061938
