genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Hymn,0.047175531202948304,0.04700386714820924,1000,0.00017166405473906243,0.4155844155844156
Lament,0.3621858188471013,0.33640134560947454,1000,0.02578447323762678,0.000999000999000999
Praise,0.13754267575379747,0.14126991903940528,1000,-0.0037272432856078064,0.991008991008991
Royal,0.03997526409204158,0.04373158947083751,1000,-0.00375632537879593,0.9820179820179821
Thanksgiving,0.03359904469698103,0.03746801935590898,1000,-0.003868974658927951,0.962037962037962
Trust,0.013625276308203458,0.013770657893886944,1000,-0.00014538158568348607,0.6153846153846154
Wisdom,0.05034925016713791,0.060599864330029944,1000,-0.010250614162892031,1.0
